agents mu
1 370.89 
2 202.896 
3 161.296 
4 128.354 
5 109.146 
6 96.576 
7 83.636 
8 79.529 
9 73.823 
10 65.742 
11 62.8 
12 60.97 
13 58.237 
14 55.685 
15 52.786 
16 51.187 
17 50.055 
18 47.55 
19 44.018 
20 44.848 
21 42.842 
22 42.176 
23 40.854 
24 40.348 
25 38.65 
26 38.01 
27 38.644 
28 35.871 
29 36.58 
30 34.336 
31 34.833 
32 33.522 
33 33.549 
34 33.953 
35 31.631 
36 31.905 
37 30.548 
38 31.081 
39 31.551 
40 30.697 
41 29.398 
42 29.058 
43 29.19 
44 29.724 
45 27.856 
46 27.912 
47 27.908 
48 27.211 
49 26.45 
50 27.34 
51 27.155 
52 26.111 
53 25.876 
54 26.006 
55 25.726 
56 25.31 
57 25.205 
58 24.834 
59 24.851 
60 25.363 
61 24.504 
62 23.978 
63 23.371 
64 23.516 
65 24.146 
66 23.215 
67 23.734 
68 22.732 
69 22.938 
70 22.731 
71 22.469 
72 21.93 
73 22.353 
74 21.812 
75 22.215 
76 21.419 
77 21.402 
78 21.439 
79 21.522 
80 21.126 
81 21.247 
82 21.025 
83 21.049 
84 20.763 
85 21.118 
86 20.483 
87 20.316 
88 20.119 
89 19.972 
90 20.799 
91 20.571 
92 19.648 
93 19.782 
94 19.369 
95 19.298 
96 19.47 
97 19.856 
98 18.957 
99 18.804 
100 18.823 
