dst degree mu
1 21 20.83 
2 21 159.687 
3 24 18.88 
4 29 140.294 
5 27 16.139 
6 20 160.508 
7 29 17.102 
8 25 146.752 
9 17 25.491 
10 25 144.089 
11 27 18.338 
12 25 142.884 
13 24 17.551 
14 20 137.501 
15 27 14.7 
16 22 153.854 
17 23 21.73 
18 26 143.24 
19 29 16.809 
20 27 124.376 
21 28 17.217 
22 23 151.392 
23 22 21.903 
24 29 144.334 
25 27 17.894 
26 24 145.684 
27 29 16.763 
28 23 149.111 
29 26 17.869 
30 25 140.65 
31 22 19.736 
32 27 137.56 
33 23 22.353 
34 22 152.809 
35 22 23.579 
36 24 142.661 
37 22 19.202 
38 26 144.773 
39 32 14.029 
40 26 143.715 
41 21 19.815 
42 26 143.556 
43 28 15.902 
44 22 147.659 
45 29 17.368 
46 27 143.871 
47 24 21.539 
48 22 156.046 
49 29 17.348 
50 17 163.641 
51 28 17.11 
52 28 141.475 
53 19 29.168 
54 25 142.929 
55 23 19.662 
56 20 158.153 
57 22 22.025 
58 20 158.038 
59 26 17.245 
60 24 132.36 
61 25 19.802 
62 29 133.613 
63 16 34.126 
64 29 144.51 
65 25 20.702 
66 27 143.424 
67 25 18.209 
68 28 139.491 
69 32 12.414 
70 26 142.955 
71 25 19.858 
72 26 145.263 
73 24 17.093 
74 24 141.876 
75 27 18.218 
76 25 153.581 
77 24 21.078 
78 30 132.473 
79 21 24.721 
80 23 148.136 
81 28 16.81 
82 31 133.108 
83 26 16.528 
84 16 167.224 
85 22 23.059 
86 23 146.034 
87 26 18.605 
88 26 130.784 
89 24 20.858 
90 28 126.045 
91 24 19.652 
92 17 167.238 
93 20 21.762 
94 23 157.594 
95 25 20.091 
96 22 154.077 
97 27 18.841 
98 20 157.556 
99 27 16.224 
100 22 153.015 
